survey,item,variable,values,Woo,Allemang
lb2004,moneyprob4,p57n_c,c(1:4),1,1
lb2009,moneyprob4,p67st_e,c(1:4),1,1
wvs_combo,moneyprob4,d066,c(1:4),1,1
allbus,msww4,fr12,c(4:1),2,3
issp1994,msww5,v13,c(1:5),2,3
usgss,msww5,mrmom,c(1:5),2,3
pewrel2006_10nat,obey4,q27c,c(1:4),2,4
wvs_combo,obey4,d077,c(1:4),2,4
wvs4_swe,obey4,iv87,c(1:4),2,4
lb2006,office2,p87n_5,c(1:0),1,1
pew2017,organright4,humanrights_priority_gender,c(4:1),1,1
tcmeg2004,permitsec5,m710x,c(5:1),2,2
usgss,pmpr2,feclergy,c(2:1),1,1
pew2007,poliequal3,q47,c(1:3),1,1
pew2012,poliequal3,q101,c(1:3),1,1
amb_brazil2016,polileader4,vb50,c(1:4),1,1
amb_canada2012,polileader4,vb50,c(1:4),1,1
amb_combo,polileader4,vb50,c(1:4),1,1
amb_suriname2012,polileader4,vb50,c(1:4),1,1
amb_trinidad2012,polileader4,vb50,c(1:4),1,1
amb_us2012,polileader4,vb50,c(1:4),1,1
arabb1,polileader4,q5053,c(1:4),1,1
arabb2,polileader4,q60103,c(1:4),1,1
arabb3,polileader4,q6013,c(1:4),1,1
eb631,polileader4,v324,c(1:4),1,1
evs_combo,polileader4,d059,c(1:4),1,1
lb2004,polileader4,p57wvs_b,c(1:4),1,1
lb2009,polileader4,p67wvs_d,c(1:4),1,1
pewrel2006_10nat,polileader4,q27b,c(1:4),1,1
wvs_combo,polileader4,d059,c(1:4),1,1
wvs4_swe,polileader4,v118,c(1:4),1,1
wvs7,polileader4,q29,c(1:4),1,1
tcmeg2004,polileader5,m710c,c(1:5),1,1
amb_combo,politicianecon3,vb52,c(1:3),1,1
amb_combo,politics3,w10,c(1:3),1,1
asianb3,politics4,q139,c(1:4),1,1
tcmeg2004,preprime5,m710a,c(5:1),1,1
evs_combo,preschoolwork4,d061,c(1:4),3,3
wvs_combo,preschoolwork4,d061,c(1:4),3,3
wvs7,preschoolwork4,q28,c(1:4),3,3
allbus,preschoolwork4,fr03a,c(1:4),3,3
allbus,preschoolwork4,fr03b,c(1:4),3,3
nsss1989,preschoolwork4,pressuf,c(1:5),3,3
issp1988,preschoolwork5,v5,c(1:5),3,3
issp1994,preschoolwork5,v5,c(1:5),3,3
issp2002,preschoolwork5,v5,c(1:5),3,3
kgss,preschoolwork5,kidsuffr,c(1:5),3,3
nsss1993,preschoolwork5,pressuf3,c(1:5),3,3
aussa2003,preschoolwork5,v110,c(5:1),3,3
aussa2005,preschoolwork5,v137,c(5:1),3,3
usgss,president2,fepres,c(2:1),1,1
usgss,priest4,fepriest,c(4:1),1,1
amb_combo,quota7,gen6,c(1:7),1,1
kgss,recession7,sexrole4,c(7:1),1,1
usgss,relation2,tradmod,c(1:2),2,2
aussa2003,reltchild5,v108,c(5:1),2,2
tcmeg2004,rightvote5,m710h,c(5:1),1,1
ases2000,rolehome4,v0215,c(1:4),3,2
lb2007,rubbed2,p70n_b,c(1:2),4,4
pew2002,samework4,q53c,c(1:4),1,1
pew2007,samework4,q74b,c(1:4),1,1
pew2008,samework4,q55ab,c(1:4),1,1
allbus,secondshift4,fr10,c(1:4),1,3
tcmeg2004,secrel5,m710j,c(5:1),3,3
evs_combo,sparent3,d023,c(0,2,1),3,2
wvs_combo,sparent3,d023,c(0,2,1),3,2
wvs4_swe,sparent3,v112,c(2,3,1),3,2
jgss,suffjob4,q4wwjbia,c(1:4),1,3
asianb1,supervise4,q070,c(1:4),1,1
jgss,surname4,op4name,c(1:4),2,2
nsss1989,todller5,todndmo,c(1:5),3,2
usgss,tradroles4,fefam,c(1:4),2,3
allbus,tradroles4,fr04a,c(1:4),2,3
allbus,tradroles4,fr04b,c(1:4),2,3
pgss,tradroles4,q7d,c(4:1),2,3
lb1997,tradroles4a,nsp68b,c(1:4),2,3
lb2000,tradroles4a,p69st,c(1:4),2,3
lb2004,tradroles4a,p57st_a,c(1:4),2,3
lb2009,tradroles4a,p67st_c,c(1:4),2,3
issp1988,tradroles5,v12,c(1:5),2,3
issp1991,tradroles5,v16,c(1:5),2,3
issp1994,tradroles5,v12,c(1:5),2,3
issp1998,tradroles5,v12,c(1:5),2,3
issp2002,tradroles5,v11,c(1:5),2,3
issp2008,tradroles5,v12,c(1:5),2,3
kgss,tradroles5,hubbywrk,c(1:5),2,3
kgss,tradroles5,hbbywk08,c(1:5),2,3
usgss,tradroles5,hubbywk1,c(1:5),2,3
nsss1989,tradroles5,wfhmfam,c(1:5),2,3
nsss1993,tradroles5,wfhmfam3,c(1:5),2,3
usgss,trainjob2a,fightair,c(2:1),1,1
usgss,trainjob2b,mechanic,c(2:1),1,1
usgss,trainjob2c,nurse,c(2:1),1,1
usgss,trainjob2d,typist,c(2:1),1,1
usgss,trainjob2e,brass,c(2:1),1,1
usgss,trainjob2f,fightlnd,c(2:1),1,1
usgss,trainjob2g,transair,c(2:1),1,1
usgss,trainjob2h,gunner,c(2:1),1,1
usgss,trainjob2i,fightsea,c(2:1),1,1
tcmeg2004,travel5,m710g,c(5:1),1,4
evs_combo,unmarried2,a124_40,c(1:0),3,2
pew2010,veilpub2a,q59,c(1:2),1,1
pew2010,veilpub2b,q59fra,c(1:2),1,1
evs_combo,wantch4,d062,c(1:4),3,3
wvs_combo,wantch4,d062,c(1:4),3,3
issp1988,wantch5,v8,c(1:5),3,3
issp1994,wantch5,v7,c(1:5),3,3
issp2002,wantch5,v7,c(1:5),3,3
kgss,wantch5,homekid,c(1:5),3,3
usgss,wantch5,homekid,c(1:5),3,3
nsss1989,wantch5,wkhmkid,c(1:5),3,3
lb2007,whisper2,p70n_a,c(1:2),4,4
nsss1989,wifejob5,wkpfnowh,c(5:1),3,3
nsss1989,wifejob7,wkpfnowh,c(7:1),3,3
pew2010,wifelife2,q93,c(1:2),3,3
issp1988,work3a,v17,c(3:1),3,3
issp1994,work3a,v18,c(3:1),3,3
